20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
Mega Charizard Y,Archaludon,Garchomp,Aerodactyl,Aegislash,Clefable,Alolan Ninetales,Corviknight,Azumarill,Araquanid,Gardevoir,Blastoise,Armarouge,Conkeldurr,Abomasnow,Alakazam,Alcremie,Audino,Aggron,Absol
Mega Floette,Basculegion-Male,Incineroar,Kingambit,Dragonite,Dragapult,Arcanine,Excadrill,Basculegion-Female,Floette-Eternal,Liepard,Hatterene,Ceruledge,Empoleon,Aromatisse,Alolan Raichu,Bellibolt,Aurorus,Arbok,Altaria
Mega Gengar,Mega Froslass,Mega Gardevoir,Mega Aerodactyl,Farigiraf,Hisuian Arcanine,Hydreigon,Glimmora,Mamoswine,Klefki,Mega Camerupt,Hisuian Zoroark,Gallade,Espeon,Chandelure,Charizard,Chesnaught,Beartic,Ariados,Ampharos
,Sneasler,Mega Kangaskhan,Mega Blastoise,Maushold,Mega Charizard X,Kommo-o,Gyarados,Mega Alakazam,Mega Skarmory,Mega Golurk,Krookodile,Gengar,Florges,Diggersby,Cofagrigus,Clawitzer,Crabominable,Bastiodon,Appletun
Mega Staraptor,Whimsicott,Sinistcha,Mega Delphox,Mega Glimmora,Mega Dragonite,Mega Clefable,Mega Excadrill,Mega Gallade,Meowstic-Male,Mega Hawlucha,Mega Altaria,Hisuian Typhlosion,Galarian Slowbro,Galarian Slowking,Delphox,Ditto,Decidueye,Meowstic-Female,Avalugg
,,,Mega Tyranitar,Mega Lopunny,Mega Lucario,Mega Garchomp,Politoed,Mega Greninja,Mimikyu,Mega Manectric,Mega Chandelure,Mega Aggron,Greninja,Hisuian Goodra,Espathra,Froslass,Drampa,Morpeko,Banette
,Mega Salamence,Mega Metagross,,Pelipper,Mega Scizor,Mega Gyarados,Venusaur,Mega Medicham,Ninetales,Oranguru,Mega Chimecho,Mega Chesnaught,Hawlucha,Hydrapple,Garganacl,Golurk,Emboar,Rotom,Beedrill
,Mega Raichu Y,Gholdengo,Mega Raichu X,Tyranitar,Mega Starmie,Mega Meganium,,Meowscarada,Paldean Tauros Aqua,Raichu,Mega Feraligatr,Mega Crabominable,Infernape,Kleavor,Glaceon,Goodra,Feraligatr,Rotom-Fan,Camerupt
,,Mega Golisopod,Mega Swampert,Volcarona,Primarina,Mega Scovillain,Mega Blaziken,Palafin,Rotom-Mow,Salazzle,Mega Meowstic,Mega Drampa,Kangaskhan,Lucario,Gourgeist,Heliolisk,Flapple,Sandaconda,Castform
,,Indeedee-F,Salamence,,Sylveon,Mega Venusaur,Mega Malamar,Rotom-Heat,Sableye,Vivillon,Mega Sableye,Mega Emboar,Medicham,Mega Abomasnow,Hippowdon,Hisuian Decidueye,Flareon,Sharpedo,Chimecho
,,Mega Baxcalibur,Grimmsnarl,Mega Mawile,Talonflame,Milotic,Mega Dragalge,,Scizor,,Noivern,Mega Slowbro,Mega Heracross,Mega Houndoom,Leafeon,Hisuian Samurott,Gliscor,Slurpuff,Dedenne
,,Rillaboom,,Annihilape,Torkoal,Rotom-Wash,,Staraptor,Tinkaton,Swampert,Paldean Tauros Blaze,Reuniclus,Mega Pidgeot,Mega Steelix,Lycanroc-Dusk,Jolteon,Heracross,Steelix,Emolga
,,Mega Lucario Z,,,,,,Scrafty,,Mega Scolipede,Rhyperior,Snorlax,Mega Pinsir,Pangoro,Mega Banette,Luxray,Lycanroc-Midday,Tauros,Forretress
,,Mega Garchomp Z,,,Mega Scrafty,Metagross,,Mega Eelektross,,Mega Barbaracle,Weavile,Tsareena,Mega Sharpedo,Spiritomb,Mega Beedrill,Machamp,Mega Audino,,Furfrou
,,,,,Mega Absol Z,Indeedee-M,,Mega Pyroar,,,,Vanilluxe,Mega Victreebel,Zoroark,Mudsdale,Mega Absol,Mr. Rime,,Galarian Stunfisk
,,,,,Baxcalibur,,,Cinderace,,,Mega Sceptile,,Orthworm,,Polteageist,Mega Ampharos,Paldean Tauros,,Garbodor
,,,,,,,,Pawmot,,,Mega Falinks,Vileplume,Slowbro,Musharna,Quaquaval,Mega Glalie,Passimian,,Glalie
,,,,,,,,,,,Alolan Persian,Qwilfish,Slowking,Scolipede,Runerigus,Rampardos,Scovillain,,Hisuian Avalugg
,,,,,,,,,,,Golisopod,Blaziken,Wyrdeer,Dragalge,Serperior,Roserade,Skarmory,,Houndoom
,,,,,,,,,,,Mabosstiff,Overqwil,,Mr. Mime,Skeledirge,Rotom-Frost,Toxapex,,Lopunny
,,,,,,,,,,,,Inteleon,Mawile,Sirfetch'd,Typhlosion,Starmie,Trevenant,,Lycanroc-Midnight
,,,,,,,,,,,,Toxtricity Amped,Arboliva,,Umbreon,Torterra,Victreebel,,Manectric
,,,,,,,,,,,,Toxtricity Low Key,Squawkabilly,,Vaporeon,Toxicroak,,,Meganium
,,,,,,,,,,,,Perrserker,,,,Tyrantrum,Barbaracle,,Pidgeot
,,,,,,,,,,,,Pincurchin,,,Sceptile,,,,Pikachu
,,,,,,,,,,,,,,,Eelektross,Falinks,,,Pinsir
,,,,,,,,,,,,,,,Pyroar,Houndstone,,,Samurott
,,,,,,,,,,,,,,,Malamar,Swalot,,,Simipour
,,,,,,,,,,,,,,,Wigglytuff,Gogoat,,,Simisage
,,,,,,,,,,,,,,,Persian,Thievul,,,Simisear
,,,,,,,,,,,,,,,,Grapploct,,,Stunfisk
,,,,,,,,,,,,,,,,,,,Toucannon
,,,,,,,,,,,,,,,,,,,Watchog
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Farfetch'd
